Metric,Default Windows Medium,HistGBDT-RPM,Change vs. baseline (%)
Average CPU power (W),50.17460317460318,42.214285714285715,-15.865232521354006
Average IPC,1.3675840162687363,1.2588540208314816,-7.950516688101507
Average CPU usage (%),58.1904761904762,58.104081632653056,-0.14846855272389184
Average L2 miss rate,0.09865079365079364,0.09671428571428571,-1.9629927594529308
Average L3 miss rate,0.09916666666666667,0.10756530612244897,8.46921625793173
Average temperature (°C),62.30158730158731,63.73265306122449,2.2969972702456616
Average frequency (GHz),3.218228571428571,2.400312244897959,-25.4151098462077
Integrated energy (J),14921.21561065,11686.70835295,-21.677236909514093
