model,accuracy,macro_f1,balanced_acc,switch_rate,avg_run_length,latency_ms_per_sample
DecisionTree,0.48597422289613346,0.45171015530240427,0.48125028443509654,0.5114566284779051,1.8268698060941828,0.00013403850607573986
HistGBDT,0.5193328278999242,0.4485945030794875,0.4522427015491719,0.5319148936170213,1.7657295850066934,0.01362353707663715
LinearSVM,0.5253980288097043,0.44228049133599034,0.45452593125588087,0.48199672667757776,1.9227405247813412,0.000103332893922925
LogReg,0.44351781652767247,0.42173194289275423,0.4785928918900635,0.5973813420621932,1.5949214026602176,0.00011751670390367508
kNN,0.5572403335860501,0.41289507785828145,0.4183766597172254,0.4099836333878887,2.205685618729097,0.04908611630089581
RandomForest,0.5610310841546626,0.4070021694892878,0.41542271667804404,0.39689034369885434,2.2663230240549828,0.10224861027672887
