model,accuracy,macro_f1,balanced_acc,switch_rate,avg_run_length,latency_ms_per_sample
RandomForest,0.9953574744661096,0.992114006761442,0.9926833057141548,0.5553488372093023,1.7979966611018363,0.11615168489515781
DecisionTree,0.9953574744661096,0.9918868507858106,0.9950272935375947,0.5525581395348838,1.8070469798657718,0.00011528070317581295
HistGBDT,0.9907149489322191,0.9886138247381915,0.9906248447175003,0.5544186046511628,1.8010033444816054,0.06412545630009844
TorchMLP,0.9507892293407614,0.9252566744579523,0.9351944800237356,0.56,1.783112582781457,0.0010603567934595048
LogReg,0.7669452181987001,0.7257864323397906,0.7727202599338586,0.6288372093023256,1.5884955752212389,8.971390780061483e-05
LinearSVM,0.754874651810585,0.7061693259574208,0.7406896110881956,0.6316279069767442,1.5814977973568283,8.62724962644279e-05
kNN,0.7437325905292479,0.7059082520273886,0.7642331637588134,0.6530232558139535,1.5298295454545454,0.038081628910731524
