model,accuracy,macro_f1,balanced_acc,switch_rate,avg_run_length,latency_ms_per_sample
HistGBDT,0.5284306292645944,0.4577261389702502,0.4627658161288537,0.516366612111293,1.8118131868131868,0.014070036681368947
RandomForest,0.5413191811978771,0.4420481538105266,0.46020288678560667,0.3469721767594108,2.531669865642994,0.08437640280462802
DecisionTree,0.4874905231235785,0.44181139690865073,0.4595658136688745,0.513911620294599,1.8193103448275862,0.00014725159853696824
LinearSVM,0.48218347232752085,0.4374500359024816,0.4527880174412526,0.5736497545008183,1.6528822055137844,0.00011190627701580524
kNN,0.5443517816527672,0.4334507410295541,0.4416895752230893,0.4157119476268412,2.1801652892561982,0.04618840636685491
LogReg,0.4404852160727824,0.4183573154897937,0.47353622011894,0.5981996726677578,1.5929951690821256,0.00011909729801118374
