model,accuracy,macro_f1,balanced_acc,switch_rate,avg_run_length,latency_ms_per_sample
LogReg,0.4404852160727824,0.4183573154897937,0.47353622011894,0.6441578148710166,1.551764705882353,0.0015653995797038078
LinearSVM,0.48218347232752085,0.4374500359024816,0.4527880174412526,0.6198786039453718,1.6124694376528117,0.0013337796553969383
kNN,0.5276724791508719,0.43339481388760337,0.43516423436221957,0.5978755690440061,1.6717363751584284,0.07194788660854101
DecisionTree,0.4806671721000758,0.42199244508377637,0.4280321396284202,0.6168437025796661,1.6203931203931203,0.002116197720170021
RandomForest,0.5504169825625473,0.4507869036822054,0.46626519805907635,0.5303490136570561,1.8842857142857143,0.04135318100452423
HistGBDT,0.5390447308567097,0.4715597493243043,0.4789356284939392,0.5940819423368741,1.6823979591836735,0.09696322027593851
