model,accuracy,macro_f1,balanced_acc,switch_rate,avg_run_length,latency_ms_per_sample
HistGBDT,0.575516693163752,0.40710137521770523,0.40521359829299786,0.45355504587155965,2.0203426124197,0.01397339259274304
LinearSVM,0.6634870164281929,0.3679413934424251,0.38861819762473887,0.14162844036697247,4.838461538461538,0.00011909883469343185
kNN,0.6634870164281929,0.3667117311936812,0.37505885384916565,0.1559633027522936,4.546987951807229,0.05770664168521762
RandomForest,0.6899841017488076,0.34564032859062804,0.37152543637851526,0.045871559633027525,8.461883408071749,0.10746655999682844
DecisionTree,0.379438261791203,0.34466936871576187,0.4352622235982726,0.6032110091743119,1.5790794979079499,0.00013268287293612956
LogReg,0.36089030206677264,0.3314351719124908,0.43966879167326267,0.6462155963302753,1.4858267716535434,0.00011769416742026805
